Business Number,URL,Title,Content,Class
64,https://www.monshaat.gov.sa/ar/node/8226,شركة التخطيط والإحتراف للمقاولات,تنفيذ وتوريد جميع أعمال الكهرباء والتكييف والسباكة الأعمال الكهروميكانيكية وجميع أنواع المكيفات من مركزي ومخفي وسبليت,حلول تقنية
65,https://www.monshaat.gov.sa/ar/node/8224,شركة ملاذ العالمية,تتكون شركة ملاذ العالمية من مجوعة أعمال متنوعة ذات جذور عميقة في المملكة العربية السعودية، يكمن عملنا الأساسي في تقديم الإستشارات الإدارية والمالية في العديد من المجالات، إضافة لقسم التوريدات الطبية في جميع أنحاء المملكة العربية السعودية، ومواكبة للرؤية والتطور قمنا أيضاً بإنشاء قسم خاص لتقنية المعلومات والخدمات الإلكترونية وتصميم وتوفير البرمجيات والأنظمة، بالإضافة إلى تنمية العلامات التجارية الشريكة لنا في المنطقة. تجعلنا من الشبكات القوية والعلاقات الراسخة أيضًا شريكًا قويًا، مما يفتح الأبواب لمن يرغبون في القيام بأعمال تجارية في المنطقة. نمثل بعضًا من العلامات التجارية الرائدة عالميًا ومحليًا، وإن إلتزامنا بدعم شركائنا ومعرفة إحتياجات السوق المحلية هو الدافع وراء نجاحنا. من بداياتنا أنشأنا بنية تحتية واسعة للعمليات والعملاء، وبنينا واحدة من أكبر شبكات العلاقات في المملكة العربية السعودية، وعلى طول الطريق، تراكمت لدينا خبرة متنوعة شاملة في جميع أنحاء المنطقة. ووكلاء معتمدين للعديد من الماركات والمرافق العالمية,تنظيمية وقانونية
66,https://www.monshaat.gov.sa/ar/node/8222,شركة المخازن الذاتية للنقل والتخزين المحدودة,شركة المخازن الذاتية شركة سعودية تأسست في عام 2020 وأنطلقت كأول شركة تخزين ذاتي في المملكة العربية السعودية في الخبر الشمالية.تأسست الشركة على مبدأ توفير المخازن المصرحة بمساحات مختلفة تخدم الأفراد والشركات بعقود مرنة تبدأ من شهرية لسد حاجات السوق في مجال التخزين الذاتي.الهدف الرئيسي من المخازن الذاتية هو مساعدة الأفراد والشركات للحصول على حل مرن من أجل تخزين الأغراض والممتلكات في مكان أمن ذو مساحة مناسبة يمكن الوصول له طول الوقت على مدار الساعة.تطمح شركة المخازن الذاتية أن تكون الخيار الأول للتخزين الذاتي في جميع مدن المملكة العربية السعودية خلال السنوات المقبلة.المواصفات:1. مساحات مختلفة تبدأ من 2 متر في 3 متر وحتى 10 متر في 4 متر2. أسعار مناسبة تبدأ من 600 ريال شهرياً3. عقود مرنة (شهرية، ربع سنوي، نصف سنوي، سنوي)4. مرخصة وجاهزة للإستخدام5. توفر جميع الإشتراطات الحكومية6. مصرحة من هيئة الغذاء والدواء7. مخازن مكيفة بدرجة حرارة من 25-308. يمكنك الحجز والدفع عن طريق الإنترنت9. إمكانية الوصول للمخزن الخاص بك طول 24/710. كاميرات مراقبة ونظام حراسات أمنية 24/711. عربات تحميل12. نظافة الموقع13. نظام التحكم بالدخول14. مساعدة داخل الموقع15. منتجات تغليف متعددة,خدمات لوجستية (تعبئة وتغليف، نقل وتخزين وتوصيل)
67,https://www.monshaat.gov.sa/ar/node/8218,مؤسسة النحل لتقنية المعلومات,متخصصون في برمجة و تطوير المواقع و المتاجر الإلكترونية و تطبيقات الجوال كما نقدم حلول ذكية للحضور والإنصراف. و نقدم خدمات التتبع و الملاحة داخل المنشآت,حلول تقنية
68,https://www.monshaat.gov.sa/ar/node/8215,Make Order,تتيح خدمة Make Order للمطاعم ببناء التطبيق الخاص بها بحيث تستهدف عملائها مباشرة دون الحاجة لوسيط لإستقبال الطلبات.,حلول تقنية
69,https://www.monshaat.gov.sa/ar/node/8213,شركة الحلول الذكية للإستشارات في الإتصالات وتقنية المعلومات,شركة متخصصة قي تقديم حلول تقنية مبنية على تقنية سلسلة الكتل,حلول تقنية
70,https://www.monshaat.gov.sa/ar/node/8211,شركة تيرا للإتصالات وتقنية المعلومات,حرصت الشركة على توفير خدماتها في بناء الأنظمة البرمجية والمواقع الإلكترونية وتقديم خدمات الإستضافة و الحماية، والإستشارات التقنية وتحليل المشاريع، بسواعد وطنية إحترافية للمساهمة في مواكبة العصر التقني الحديث و تأمين بنية أساسية ممتازة وتأهيل وتطوير الأيدي العاملة الوطنية المتخصصة، بهدف بناء مجتمع رقمي آمن و إحترافيمن خدماتنا:- برمجة المواقع والمتاجر الإلكترونية- برمجة التطبيقات- الأمن السيبراني والحماية- إستضافة المواقع- إدارة وتشغيل وصيانه المشاريع التقنية- عمل تصاميم الجرافيك وتصاميم الواجهات- دراسة المشاريع- حملات إعلانية,حلول تقنية
71,https://www.monshaat.gov.sa/ar/node/8204,شركة حاسبات الفلك لتقنية المعلومات,"متخصصون في إستشارات وخدمات تقنية المعلومات ، نقدم لكم في حاسبات الفلك حلول الحوسبة السحابية من (Amazon AWS, Microsoft Azure) وأنظمة البريد الإلكتروني السحابي وبرامج المكتب (Microsoft 365) وخدمات وبرامج الأمن السيبراني وحماية البيانات والنسخ الإحتياطي بالإضافة إلى برامج الرسم الهندسي (Autodesk) والرسم الإبداعي (Adobe). حاسبات الفلك شريكك التقني الذي تحتاجه.",حلول تقنية
72,https://www.monshaat.gov.sa/ar/node/8197,شركة طرود للإتصالات وتقنية المعلومات,أكثر من 25 شركة نقل طرود في منصة واحدة.ربط المتاجر الإلكترونية بشكل مباشر مع:- شركات نقل طرود فوري (توصيل خلال ساعتين)- شركات نقل طرود سريع- شركات نقل طرود عالمي- شركات نقل طرود مبرّد (للمنتجات الصحية والتجميلية والغذائية)- شركات نقل طرود متخصصة في السلع الثمينةجميع أنواع المتاجر الإلكترونية:- برمجة مخصصة- ماجينتو- وورد بريس- أوبن كارت- زد- سلة- شوبيفاي- إيكود,حلول تقنية
73,https://www.monshaat.gov.sa/ar/node/7522,Target Vision,Target Vision هي رؤية مستهدفة لحلول تكنولوجيا المعلومات لتكنولوجيا نظم المعلومات، وهي مزيج ديناميكي لتصميم مواقع الويب وتطبيقات الهاتف المحمول والحلول السحابية وخدمات تنفيذ تخطيط موارد المؤسسات وخدمات الإستشارات التجارية.,حلول تقنية
74,https://www.monshaat.gov.sa/ar/node/7519,صفقات,متجر صفقات هو متجر إلكتروني متخصص في أدوات التعبئة والتغليف.نحن نتعامل مع أفضل شركات الشحن المتوفره والمناسبه لعملائنا لنتآكد من وصول طلبك إليك في الوقت المحدد.في صفحة إنهاء الطلب ستجد تفاصيل طلبك كاملاً.,خدمات لوجستية (تعبئة وتغليف، نقل وتخزين وتوصيل)
75,https://www.monshaat.gov.sa/ar/node/7518,أدوار,تعد شركة أدوار من الشركات الواعده في مجال الخدمات اللوجستية تأسست عام 2013 وأستطاعت في وقت وجيز بناء قاعدة من العملاء بفضل الخدمة المميزه. تدير الشركة الكثير من العقود في القطاع الحكومي والقطاع الخاص في مجال نقل الكوادر البشرية والتخزين ونقل المواد وأعمال الصيانه والتشغيل. تملك الشركة أسطول حديث ومتنوع من المركبات الكبيره والمتوسطة والصغيره بناء علـى نوع العقود المبرمة مع الجهات الأخرى. وقد استطعنا بفضل الله ثم خبراتنا ومهاراتنا في إدارة العمل أن نحقق أداء سريع والنمو من بين الشركات وهذا اتاح لنا الإنتشار الواسع في أنحاء المملكة.,خدمات لوجستية (تعبئة وتغليف، نقل وتخزين وتوصيل)
76,https://www.monshaat.gov.sa/ar/node/7515,وصل التنقية,نفخر في شركة وصل التقنية لنظم المعلومات المحدودة بتقديم آخر ماتوصلت له حلول الأنظمة التقنية بالمملكة العربية السعودية، وذلك من خلال تقديم منتجات وحلول تقنية ذات كفائة وجودة تخدم المنشآت. لقد وضعنا على عاتقنا تقديم الأفضل لعملائنا وشركاء النجاح، وذلك بتطوير وصل التقنية لتصبح أفضل شركة تقدَم الحلول المتكاملة بالمملكة العربية السعودية.ما يميّزنا هو سعينا لخدمة عملائنا وشركائنا بتحقيق رؤيتهم وأفكارهم بشكل واقعي مبني على أسس تقنية حديثة.,حلول تقنية
77,https://www.monshaat.gov.sa/ar/node/7512,رقمنة,رقمنة هي شركة متخصصة في الإستثمار عبر الإنترنت والتجارة الإلكترونية. تأسست لسد الفجوة في مجال صناعة الويب والتجارة الإلكترونية وتطمح لقيادتها إلى مستوى متقدم في المملكة العربية السعودية والدول العربية. بدأت رقمنة وشاركت في الإستثمار والإستحواذ وإدارة متاجر التجارة الإلكترونية ودعم عملائها لتحسين عملياتهم ومبيعاتهم.,حلول تقنية
78,https://www.monshaat.gov.sa/ar/node/7509,وادي الفكرة,فريق عمل سعودي يعمل على صناعة الهوية التجارية وحلول التسويق وتقنية المعلومات بأفكار حديثة وطابع إحترافي قيّم. الريادة في إبداع صناعة التسويق الرقمي وحلول التقنية.,حلول تقنية
79,https://www.monshaat.gov.sa/ar/node/7508,هاند تو هاند,ولاء العميل لدى شركائنا، كما عملنا خلال السنوات الماضية على إعداد الخطط، وتدريب العاملين لدينا على مواكبة التقنيات المتسارعة في قطاع الدعم اللوجستي، وذلك عن طريق تطوير آلية إستلام المنتجات وتسليمها كما تم تطوير آلية التخزين ومتابعة الطلبات وإتمامها، مما أدى إلى تحقيق أهدافنا مع شركائنا في وقت قياس,خدمات لوجستية (تعبئة وتغليف، نقل وتخزين وتوصيل)
80,https://www.monshaat.gov.sa/ar/node/7507,سمسا,تتمثل رؤيتنا في أن نكون مزودًا لخدمات نقل الشحن الجوي والبري والحلول اللوجستية ، بما يتناسب مع إحتياجات عملائنا داخل المملكة العربية السعودية وحول العالم.,خدمات لوجستية (تعبئة وتغليف، نقل وتخزين وتوصيل)
81,https://www.monshaat.gov.sa/ar/node/7504,شقردي,شقردي يربط الناس بالأشياء التي يحبونها من خلال الأكتشاف الشخصي والتسليم عند الطلب بأسعار معقولة. نحن نمكّن شركات الشحن من التفوق، وتمكين الشركات الصغيرة والمتوسطة وبناء شركة متنوعة في الشرق الأوسط وشمال إفريقيا ترحب بالمواهب من جميع الخلفيات.,خدمات لوجستية (تعبئة وتغليف، نقل وتخزين وتوصيل)
82,https://www.monshaat.gov.sa/ar/node/7503,الرائدة للتمويل,لمعرفتنا بحجم تأثير المنشآت الصغيرة والمتوسطة على الاقتصاد بأكمله؛ نحن نهتم بتقديم أفضل الحلول التمويلية الإسلامية لدعم لمشروعك التجاري. أينما كنت في أنحاء المملكة العربية السعودية، نقدم لك الدعم من خلال إحدى الخيارات التمويلية المتعددة؛ للتنمية مشروعك التجاري. بسرعة ومرونة نقدم لمشروعك التجاري التمويل العاجل؛ لتحقق أحلامك، وتنطلق في طريق النجاح!,حلول تمويلية
83,https://www.monshaat.gov.sa/ar/node/7501,لوفان,تمتاز حلولنا التقنية في لوفان أننا ندرس المشكلة من أساسها، ونقدم الحلول المناسبة بعد معالجة احتياجات العميل بأفضل الحلول التقنية وبخبرات عالميه تفهم طبيعة المشكلة وتقدّم لها أفضل الحلول. لوفان اسم عريق في عالم المقاولات في المملكة العربية السعودية وتنطلق ضمن مبادئ ثابتة في خدمة الوطن والمساهمة في دفع عجلة البناء والتطور من خلال الإلتزام بتقديم أفضل الخدمات. تعمل لوفان من خلال علاقاتها الدولية في الإستيراد والتصدير من جميع دول العالم. تسعى لوفان من خلال شركاتها الدولية والمحلية لأصحاب الأعمال والمستثمرين المحليين والدوليين لخلق فرص تمويليه لأصحاب المشاريع.,حلول تقنية
84,https://www.monshaat.gov.sa/ar/node/7500,شركة هنا المستقبل لتقنية المعلومات,شركة سعودية رسمية 100% مقرنا في المملكة العربية السعودية في مدينة الرياض نمتلك خبرة 13 عاماً تجعلنا من أفضل الشركات في مجالات التقنية. متخصصون في (تصميم وبرمجة مواقع الإنترنت، والتطبيقات الذكية، و خدمات الYستضافة والسيرفرات، و التسويق الإلكتروني، والأرشفة، و تصميم الهوية والشعار، و رسائل الـ SMS والتحليل التقني لمواقع الإنترنت والتطبيقات وتطويرها ).,حلول تقنية
85,https://www.monshaat.gov.sa/ar/node/7497,كيان ون | Kayan1,جعل التسوق أكثر متعة وسهولة. التميز بالحصول على خصومات دائمة وثابتة. خفض تكلفة المصروفات السنوية للفرد والأسرة والمجتمع بما يتوافق مع رؤية 2030. دعم المنشآت السعودية والتعريف بها وبمنتجاتها وبما تقدمه من خدمات. فتح باب عمل ودخل إضافي لشباب وشابات الوطن. دعم الجمعيات والمؤسسات الخيرية السعودية الرسمية,التسويق الإلكتروني
86,https://www.monshaat.gov.sa/ar/node/7239,D Cube - دي كيوب,تعتبر شركة دي كيوب من الشركات الرائدة في مجال التسويق الرقمي والإعلان الالكتروني المختصة في صناعة المحتوى التسويقي وتطوير وسائل الإعلام في المملكة العربية السعودية والخليج العربي، تقدم شركة دي كيوب أفضل الحلول التسويقية ما بين تطبيقات الجوال، والمواقع الإلكترونية، وشبكات التواصل الاجتماعي، ومحركات البحث- عن طريق دراسة كل مشروع بشكل خاص لتصميم ما يتناسب مع أفكاره، ولتحقيق الأهداف المرجوة من عملية التسويق الإلكتروني.,حلول تقنية
87,https://www.monshaat.gov.sa/ar/node/7238,Linkers - لنكرز,تتيح منصة Linkers internet of Things - IoT - للشركات الاستفادة من قوة سحابة Linkers لتبسيط التشغيل وإدارة استهلاك الطاقة لفروع مختلفة من موقع مركزي مدعوم من Linkers cloud للمستهلكين.,حلول تقنية
88,https://www.monshaat.gov.sa/ar/node/7237,أي مكان,"تهدف ""أي مكان"" الى تقديم خدمات للوجستيات وإدارة سلسلة التوريد للشركات في منطقة الخليج العربي وذلك لمساعدتها في الوصول إلى أهدافها دون المساس بالعمليات الأساسية للشركة. حيث نتميز بإستخدام أحدث التقنيات التكنولوجية وتقديم أفضل خدمة عملاء، بالإضافة إلى الحلول المخصصة والمتطورة التي نقدمها لعملائنا.",خدمات لوجستية (تعبئة وتغليف، نقل وتخزين وتوصيل)
89,https://www.monshaat.gov.sa/ar/node/7204,مؤسسة سناس للتجارة والمقاولات  DHL,DHL هي العلامة التجارية العالمية الرائدة في صناعة الخدمات اللوجستية. تقدم أقسامنا مجموعة لا مثيل لها من الخدمات اللوجستية التي تتراوح من تسليم الطرود على الصعيدين الوطني والدولي، حلول الشحن والتجارة الإلكترونية، النقل الدولي السريع، النقل البري والجوي والبحري إلى إدارة سلسلة التوريد الصناعية.,خدمات لوجستية (تعبئة وتغليف، نقل وتخزين وتوصيل)
90,https://www.monshaat.gov.sa/ar/node/7201,Hyperpay - هايبر باي,هايبر باي هي بوابة دفع فعَّالة تعمل على إحداث تغيير في تجربة الشراء عبر الإنترنت في منطقة الشرق الأوسط وشمال أفريقيا بالكامل. نمكّن الأعمال عبر الإنترنت من قبول المدفوعات الإلكترونية وإدارتها بمزيد من المرونة والأمان والسهولة. نقدَّم للتجّار في جميع القطاعات مجموعة كاملة من حلول الدفع عبر الإنترنت التي تلبي إحتياجاتهم كافةً. عامًا بعد عام، حقق التجَّار الإلكترونيون لدينا نموًا هائلاً في مبيعاتهم عبر الإنترنت؛ وهذا هو ما يحفّزنا على العمل لتنمية عروضنا وإصداراتنا بإستمرار.,بوابات الدفع الإلكترونية
91,https://www.monshaat.gov.sa/ar/node/7199,PayTabs - بيتابس,بيتابس هي شركة مزودة لحلول الدفع المريحة والآمنة المخصصة للعمليات التجارية بين الشركات والمؤسسات التجارية، تمكن بيتابس المشاريع الصغيرة والمتوسطة المتنامية وسوق التجارة الإلكترونية و أيضاً الشركات الكبيرة من خلال تزويدهم بمجموعة من حلول الدفع الشاملة، باستخدام خدماتنا يمكنك تلقي المدفوعات عبر الإنترنت وإنتاج وإرسال الفواتير عبر الإنترنت واستخدام الإضافات في واجهة تطبيق البرنامج لدمجها مع المواقع الخاصة بك و إنشاء متجر على الإنترنت.,بوابات الدفع الإلكترونية
92,https://www.monshaat.gov.sa/ar/node/7198,كوارا للتمويل,شركة رائدة في الخدمات المالية المتوافقة مع أحكام الشريعة الإسلامية، تمتلك الشركة خبرة كبيرة بمجال التمويل، وتقدم العديد من الحلول التمويلية التي تلبي الإحتياجات الشخصية للأفراد، كما تلبي حاجة الشركات ورواد الأعمال لتطوير أعمالهم.,حلول تمويلية
93,https://www.monshaat.gov.sa/ar/node/7196,Vision Ventures - فيجن فنتشرز,مع Vision Ventures Capital ، يمكنك البدء في إدارة شركتك بثقة من خلال التوجيه الصحيح والموارد المالية والتسويقية اللازمة لبدء مشروعك الذي تحلم به. نضع سنوات خبرتنا التجارية الطويلة والناجحة على الطاولة لمساعدتك على دمج شركتك وتنميتها كرائد أعمال متمرس.,حلول تمويلية
94,https://www.monshaat.gov.sa/ar/node/7193,برو ميديا,"تقدم خدمات الإنتاج الإعلامي وتتميز بتخصصات فنية مثل: (التصوير المعماري، التصوير الصناعي والمؤسسي، تصوير الأطعمة، توثيق المناسبات والمؤتمرات)، كما تضم المؤسسة فريق من المصورين المتخصصين في كل قسم على حدة، وتقدم خدمات تعليمية من خلال إدارة المجموعة غير الربحية ""مجموعة مصوري الرياض"" لكافة المصورين والمصورات الفوتوغرافيين والفيديوغرافي والمعالجة والمونتاج.",التسويق الإلكتروني
95,https://www.monshaat.gov.sa/ar/node/7191,مرسول,منصة مرسول رائدة في نموذج تلبية الخدمة عند الطلب في المنطقة، من خلال إنشاء شبكة ضخمة من التعامل المباشر بين عميل إلى عميل من خلال تجربة طلب عامة قائمة على الدردشة ، مما يسمح للمستخدمين بأن يكونوا مبدعين وغير مقيدين في وصف الخدمة المطلوبة، ومنح شركات النقل خيار المزايدة بالسعر الذي يرونه مناسبًا، مما يضمن نموذجًا قابلًا للتطوير وذاتي التنظيم بالكامل,خدمات لوجستية (تعبئة وتغليف، نقل وتخزين وتوصيل)
96,https://www.monshaat.gov.sa/ar/node/7190,اس تي سي باي - STC Pay,نتشارك رؤية مستقبلية مع العملاء والشركات لتوفير تقنيات جديدة ومبتكرة وتجارب رقمية. باستخدام شبكة stc القوية، نحن قادرون على تحسين توصيل التجار مع عملائهم من خلال المحفظة الرقمية الآمنه stc pay، لتمكين كلا الجانبين من إكمال معاملاتهم بسرعة وسهولة وأمان,بوابات الدفع الإلكترونية
97,https://www.monshaat.gov.sa/ar/node/7156,مساحة,مساحة يهدف لتأجير المساحات الغير مستغلة سواء كانت منازل أو مزارع أو مستودعات، مساعدة في الدخل الإضافي باستخدام مساحتك,حلول تقنية
98,https://www.monshaat.gov.sa/ar/node/7001,معايش,مع التطور الواضح في استراتيجية التنافس بين الشركات والمؤسسات والقطاعات،  لبلوغ الأهداف وتحقيق الأرباح المالية ، جئنا في معايش للاستشارات الإدارية، ليحظى كل مشروع جديد بفرصة منافسة شركات ومنشآت سبقته في مجال العمل، ويستعيد كل مشروع  قائم توازنه بعد أن واجه تعثرات، فيتلقى باقة من الخدمات الاستشارية من فريق عمل متعدد الخبرات والمجالات يقوم بتشخيص وتحليل الاحتياج، ليقترح الحل؛ باستخدام منهجيات وأدوات حديثة ومتواكبة، يليها متابعة التنفيذ وقياس النتائج.,تنظيمية وقانونية
99,https://www.monshaat.gov.sa/ar/node/6999,Gulf Casting,وكالة Gulf Casting هي وكالة تسويق متكاملة للمواهب والثقافات تأسست في عام 2008. نحن نقدم مجموعة واسعة من خدمات المواهب مثل (العارضين والممثلين والأطفال) في مجال التلفزيون والسينما ووسائل التواصل الاجتماعي والإذاعة والإعلانات التجارية المحلية والوطنية ، المطبوعات التجارية والصوت. كما نقدم خدمات إعلامية في مجالات (كتابة النصوص ، التعريب ، الأحداث ، الإنتاج الإعلامي والمؤثرون).,التسويق الإلكتروني
100,https://www.monshaat.gov.sa/ar/node/6996,سلاسة,نُقدّم في سلاسة حلولاً جاهزة تُيسّر إنجاح مشروعك التجاري الإلكتروني، فتتخلص مما يُقلقك وتُركز على التسويق والمبيعات.نستقبل منتجاتك بسلاسة، نخزّنها بسلاسة، نشحنها بسلاسة .. وتزيد أرباحك بسلاسة!,خدمات لوجستية (تعبئة وتغليف، نقل وتخزين وتوصيل)
101,https://www.monshaat.gov.sa/ar/node/6994,كيان,كيان هي المنظومة الرقمية الاجتماعية الأولى في المملكة العربية السعودية. نقوم عبر خدماتنا بتوفير سبل التنقل الملائمة للجميع. ركائزنا الأساسية خدمة الفرد والنمو بالمجتمع. ومن واقع النمو الاقتصادي الذي تشهده مملكتنا الحبيبة بقيادة الكفاءات الشابة، نطمح أن نكون رائدين في انتشارنا بكافة الأطياف الجغرافية في الوطن العربي، متعهدين أن تكون مسؤوليتنا الاجتماعية هدفاً رئيسياً خلال عملنا.,خدمات لوجستية (تعبئة وتغليف، نقل وتخزين وتوصيل)
102,https://www.monshaat.gov.sa/ar/node/6993,شتل - shuttle,تقدم شتل حلول لوجستية متخصصة في خدمة المتاجر الإلكترونية كتوصيل طلبات المتاجر الإلكترونية عبر الخزنات الذكية بالقرب من منزلك أو مقر عملك، لتقدم لك ولعميلك تجربة فريدة وكفاءة عالية في التوصيل واستلام الطرود البريدية لمتجرك الإلكتروني,خدمات لوجستية (تعبئة وتغليف، نقل وتخزين وتوصيل)
103,https://www.monshaat.gov.sa/ar/node/6992,مخزني,"يعتبر مخزني للتخزين هو الأول من نوعه في المملكة العربية السعودية ، كما يوفر لسكان الدمام والرياض وجدة موقعًا آمنًا وبأسعار معقولة لتخزين ممتلكاتهم الشخصية والتجارية مع توفير عشرات الأحجام المختلفة للوحدات ولدينا وحدة لتلبية أي من متطلباتك للتخزين سواء عند انتقالك إلى منزل جديد أو عندما تقوم بالتجديد أو تحتاج إلى مكان ما للتخزين أو التخزين للأعمال أو أنك تحتاج ببساطة إلى مساحة إضافية في المنزل لذا يعتبر مخزني هو الحل الجديد الذي تبحث عنه. ونحن نعلم أن متعلقاتك ضرورية بالنسبة لك وهذا هو السبب في أن مرافق التخزين الخاصة بنا تتميز بتدابير وإجراءات أمنية صارمة على مدار الساعة طوال أيام الأسبوع لحماية ممتلكاتك, بالإضافة إلى ذلك ، فإنه يمكنك الوصول إلى منشأتنا الآمنة على مدار 24 ساعة حتى تتمكن من استرداد أمتعتك ليلا أو نهاراً",خدمات لوجستية (تعبئة وتغليف، نقل وتخزين وتوصيل)
104,https://www.monshaat.gov.sa/ar/node/6990,شور-sure,شور للمدفوعات شركة متخصصة في حلول أنظمة الدفع المالية التي نقدمها ونحن مزودين بخبراتنا في تطوير البرمجيات منذ عام ٢٠٠٥ عبر شركة شور العالمية للتقنية التي أنجزت خلال السنوات الماضية المئات من المشاريع التقنية التي نفخر برضى عملائنا عنها. تقدم شور للمدفوعات مجموعة متنوعة من حلول أنظمة الدفع التي تناسب مختلف الاحتياجات مثل الأنظمة الثابتة والمحمولة وأنظمة الخدمة الذاتية. بالإضافة لحلول الدفع تقدم شور للمدفوعات مجموعة من الحلول البرمجية لإدارة أجهزة الدفع ، وتقارير التسوية الآلية، والتكامل بين أجهزة الدفع والتطبيقات، بالإضافة لمراقبة الأنظمة.,بوابات الدفع الإلكترونية
105,https://www.monshaat.gov.sa/ar/node/6989,جيديا-Geidea,سواء أثناء التنقل أو في المتجر أو عبر الإنترنت ، نمنح التجار من جميع الأنواع الحرية في قضاء وقت أقل في المهام المعقدة ومزيد من الوقت مع أجزاء العمل التي يعرفونها ويحبونها. دعم نجاح الشركات الصغيرة هو جوهر ما نقوم به والابتكار هو ما يدفعنا للقيام بذلك. يسمح حل الأعمال 2 في 1 الخاص بنا للتجار بقبول جميع أنواع الدفع من الرقاقة والرقم السري إلى المحافظ الرقمية مع توفير أدوات بسيطة وفعالة لإدارة المخزون والمبيعات والطلبات عبر الإنترنت وغير ذلك الكثير ، كل ذلك من تطبيق واحد.,حلول تقنية
106,https://www.monshaat.gov.sa/ar/node/6988,تاب - tap,tap يبسط المدفوعات للشركات، يعمل فريقنا كل يوم لتوفير تجربة دفع سلسة لعملائنا ونركز على كيفية دفع الناس وهذا هو جوهر عرضنا للشركات، نحافظ على سهولة الإعداد ونقدم خدمة آمنة وقوية تتطور مع احتياجات كل شركة، يعمل فريقنا مع خبراء الدفع والمبتدئين ليلًا ونهارًا على ابتكار المدفوعات من مركزنا في الكويت لخدمة الناس في الشرق الأوسط.,بوابات الدفع الإلكترونية
107,https://www.monshaat.gov.sa/ar/node/6941,كريم,تقدم كريم حلولًا تقنية محلية لتحسين خدمات النقل والخدمات المصرفية والتجارة الإلكترونية في المنطقة، حيث تطورت من كونها مجرد شركة تقدم خدمات حجز السيارات وتوصيل الطلبات إلى واحدة من أفضل التطبيقات اليومية في المنطقة.,خدمات لوجستية (تعبئة وتغليف، نقل وتخزين وتوصيل)
108,https://www.monshaat.gov.sa/ar/node/6936,نعناع,نعناع هي أكبر منصة تسوق رقمية للبقالة في المملكة العربية السعودية.,خدمات لوجستية (تعبئة وتغليف، نقل وتخزين وتوصيل)
109,https://www.monshaat.gov.sa/ar/node/6934,fudex,يوفر Fudex EBS للباحثين عن الأتمتة حلولًا مؤتمتة محسّنة لتكنولوجيا المعلومات ، تغطي نطاقات أعمال مختلفة وتنتج أيضًا مجموعة واسعة من تطبيقات المنتجات الضخمة مثل أدوات CRM و WFM. تقديم الخدمات التي تساعد المؤسسات والشركات على زيادة الدخل والتوسع والنمو وكذلك تطوير حركة الإنتاج والمبيعات من خلال حلول التجارة الإلكترونية,حلول تقنية
110,https://www.monshaat.gov.sa/ar/node/6933,زد,زد عبارة عن تجارة إلكترونية في صندوق - حل يمكن لأي بائع تجزئة استخدامه لبدء بيع التجزئة الإلكترونية. تساعدهم شركة زد على بناء متاجرهم الإلكترونية (بأسمائهم وهويتهم الخاصة) ودمجها مع مشغلي سلسلة التوريد لتمكينهم من الإدارة وبكل سهولة. كل ذلك بتكلفة معقولة وجودة لائقة.,حلول تقنية
111,https://www.monshaat.gov.sa/ar/node/6930,سلة,منصة للتجارة الإلكترونية تتيح للمستخدمين إنشاء متاجرهم الإلكترونية لبيع منتجاتهم وخدماتهم للعملاء.,حلول تقنية
